tweet_id,retweet_count,favorite_count
800018252395122689,12264,26791
799774291445383169,4355,0
799757965289017345,1999,7936
799422933579902976,1793,7664
799308762079035393,5059,0
799297110730567681,2552,9365
799063482566066176,2335,7666
798933969379225600,4143,12382
798925684722855936,1355,7142
798705661114773508,6192,0
798701998996647937,7213,0
798697898615730177,6074,0
798694562394996736,4627,0
798686750113755136,2172,0
798682547630837760,4418,0
798673117451325440,5204,0
798665375516884993,3667,0
798644042770751489,1738,0
798628517273620480,1857,0
798585098161549313,5254,0
798576900688019456,5459,0
798340744599797760,3131,0
798209839306514432,2418,9897
797971864723324932,2879,10914
797545162159308800,4603,13828
797236660651966464,6135,18864
797165961484890113,24,212
796904159865868288,8333,0
796865951799083009,1825,7283
796759840936919040,2820,11173
796563435802726400,6708,0
796484825502875648,1645,7159
796387464403357696,3878,10424
796177847564038144,13325,0
796149749086875649,13325,30397
796125600683540480,1680,4724
